model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_oct_38,1728,358,226,38,94,1377,249
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_quart_98,1860,141,40,23,78,1544,107
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_petermann_ii_446,1584,156,74,20,62,1297,102
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_schoemann_v_5,1087,277,136,42,99,899,211
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1114,2236,340,136,38,166,1844,282
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1689,,,,,,,
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1704,2267,249,91,38,120,1863,184
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_289,1343,190,44,13,133,1118,167
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,slub_mscr_dresd_ea_84,,,,,,,
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_30,1436,257,145,19,93,1169,193
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_42,1488,186,66,33,87,1245,134
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vi_83,2075,167,73,28,66,1724,128
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vii_132,794,164,84,20,60,637,109
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_vii_72,1179,201,69,43,89,996,143
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tubingen_ma_viii_106,1361,240,134,29,77,1160,197
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,tuebingen_ma_vi_141,1202,221,95,35,91,984,173
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,uppsala_o_vet_60,524,146,50,32,64,446,106
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,vieac_10314,718,711,710,0,1,583,576
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,vieac_8056v,673,487,397,9,81,533,398
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,akdi_01707,19228,1533,502,350,681,15761,1019
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,altiparmak_efendi_hristiyanlik_ve_paul_hakkin,,,,,,,
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5267,3622,408,269,56,83,2899,203
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5341,14534,1391,712,317,362,11902,734
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_242,1992,744,459,65,220,1550,551
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_334,2521,477,232,95,150,2039,308
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_ara_69,4604,1291,1087,47,157,3048,248
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_pers_16,3071,744,463,112,169,2437,506
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_pers_21,,,,,,,
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bnf_arabe_5453,3800,387,136,99,152,3181,259
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bnf_arabe_5741,1287,185,88,31,66,1067,137
pdf-gen1-print-n7m5-nall-sc_best,acdc_mss,bnf_arabe_6246,1227,469,178,69,222,1031,356
